Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
14704617;546291;Hatín;;;;;37516;Hatín;;;è.p.;2;;;37701;722302.50;1155851.88;2013-12-03T00:00:00
14704625;546291;Hatín;;;;;37516;Hatín;;;è.p.;3;;;37701;722334.88;1155877.25;2013-12-03T00:00:00
14704633;546291;Hatín;;;;;37516;Hatín;;;è.p.;4;;;37701;722342.19;1155814.00;2013-12-03T00:00:00
14704641;546291;Hatín;;;;;37516;Hatín;;;è.p.;5;;;37701;722394.31;1155831.38;2013-12-03T00:00:00
14704650;546291;Hatín;;;;;37516;Hatín;;;è.p.;6;;;37701;722426.06;1155803.13;2013-12-03T00:00:00
14704668;546291;Hatín;;;;;37516;Hatín;;;è.p.;7;;;37701;722465.50;1155819.00;2013-12-03T00:00:00
14704676;546291;Hatín;;;;;37516;Hatín;;;è.p.;8;;;37701;722480.25;1155786.00;2013-12-03T00:00:00
14704684;546291;Hatín;;;;;37516;Hatín;;;è.p.;9;;;37701;728602.75;1153441.50;2013-12-03T00:00:00
14704692;546291;Hatín;;;;;37516;Hatín;;;è.p.;10;;;37701;722523.19;1155735.38;2013-12-03T00:00:00
14704706;546291;Hatín;;;;;37516;Hatín;;;è.p.;11;;;37701;722482.63;1155735.38;2013-12-03T00:00:00
14704714;546291;Hatín;;;;;37516;Hatín;;;è.p.;12;;;37701;722439.00;1155734.63;2013-12-03T00:00:00
14704722;546291;Hatín;;;;;37516;Hatín;;;è.p.;13;;;37701;722262.50;1155863.75;2013-12-03T00:00:00
14704731;546291;Hatín;;;;;37516;Hatín;;;è.p.;14;;;37701;722416.06;1155758.88;2013-12-03T00:00:00
14704749;546291;Hatín;;;;;37516;Hatín;;;è.p.;15;;;37701;722478.50;1155645.88;2013-12-03T00:00:00
14704757;546291;Hatín;;;;;37516;Hatín;;;è.p.;16;;;37701;722429.31;1155659.25;2013-12-03T00:00:00
14704765;546291;Hatín;;;;;37516;Hatín;;;è.p.;17;;;37701;722377.81;1155674.13;2013-12-03T00:00:00
14704773;546291;Hatín;;;;;37516;Hatín;;;è.p.;18;;;37701;722336.06;1155663.00;2013-12-03T00:00:00
14704781;546291;Hatín;;;;;37516;Hatín;;;è.p.;19;;;37701;722317.81;1155711.25;2013-12-03T00:00:00
14704790;546291;Hatín;;;;;37516;Hatín;;;è.p.;20;;;37701;722193.25;1155656.75;2013-12-03T00:00:00
14704803;546291;Hatín;;;;;37516;Hatín;;;è.p.;21;;;37701;722324.25;1155723.00;2013-12-03T00:00:00
14704811;546291;Hatín;;;;;37516;Hatín;;;è.p.;22;;;37701;722315.44;1155694.75;2013-12-03T00:00:00
14704820;546291;Hatín;;;;;37516;Hatín;;;è.p.;23;;;37701;722588.56;1155712.38;2013-12-03T00:00:00
14704838;546291;Hatín;;;;;37516;Hatín;;;è.p.;24;;;37701;722245.75;1155663.75;2013-12-03T00:00:00
14704846;546291;Hatín;;;;;37516;Hatín;;;è.p.;25;;;37701;722537.31;1155766.63;2013-12-03T00:00:00
14704854;546291;Hatín;;;;;37516;Hatín;;;è.p.;26;;;37701;722365.19;1155811.00;2013-12-03T00:00:00
14704862;546291;Hatín;;;;;37516;Hatín;;;è.p.;27;;;37701;722204.06;1155635.75;2013-12-03T00:00:00
14704871;546291;Hatín;;;;;37516;Hatín;;;è.p.;28;;;37701;722235.06;1155655.75;2013-12-03T00:00:00
14704889;546291;Hatín;;;;;37516;Hatín;;;è.p.;29;;;37701;722174.81;1155662.38;2013-12-03T00:00:00
